expression,meaning,example,domain
gue*lik*evi,"triple synthesis: guess, likely, and evidence","gue*lik*evi = integrated thought combining guess, likely, and evidence",cognitive
gue*foc,blend of guess and focus,gue*foc = synthesis of guess with focus,cognitive
gue*foc*evi,"triple synthesis: guess, focus, and evidence","gue*foc*evi = integrated thought combining guess, focus, and evidence",cognitive
gue*atn,blend of guess and attention,gue*atn = synthesis of guess with attention,cognitive
gue*atn*evi,"triple synthesis: guess, attention, and evidence","gue*atn*evi = integrated thought combining guess, attention, and evidence",cognitive
gue*con,blend of guess and concentrate,gue*con = synthesis of guess with concentrate,cognitive
gue*con*evi,"triple synthesis: guess, concentrate, and evidence","gue*con*evi = integrated thought combining guess, concentrate, and evidence",cognitive
gue*dis,blend of guess and distract,gue*dis = synthesis of guess with distract,cognitive
gue*dis*evi,"triple synthesis: guess, distract, and evidence","gue*dis*evi = integrated thought combining guess, distract, and evidence",cognitive
gue*obs,blend of guess and observe,gue*obs = synthesis of guess with observe,cognitive
gue*obs*evi,"triple synthesis: guess, observe, and evidence","gue*obs*evi = integrated thought combining guess, observe, and evidence",cognitive
gue*per,blend of guess and perceive,gue*per = synthesis of guess with perceive,cognitive
gue*per*evi,"triple synthesis: guess, perceive, and evidence","gue*per*evi = integrated thought combining guess, perceive, and evidence",cognitive
gue*abl,blend of guess and able,gue*abl = synthesis of guess with able,cognitive
gue*abl*evi,"triple synthesis: guess, able, and evidence","gue*abl*evi = integrated thought combining guess, able, and evidence",cognitive
gue*aud,blend of guess and hearing,gue*aud = synthesis of guess with hearing,cognitive
gue*aud*evi,"triple synthesis: guess, hearing, and evidence","gue*aud*evi = integrated thought combining guess, hearing, and evidence",cognitive
gue*see,blend of guess and seeing,gue*see = synthesis of guess with seeing,cognitive
gue*see*evi,"triple synthesis: guess, seeing, and evidence","gue*see*evi = integrated thought combining guess, seeing, and evidence",cognitive
gue*sme,blend of guess and smelling,gue*sme = synthesis of guess with smelling,cognitive
gue*sme*evi,"triple synthesis: guess, smelling, and evidence","gue*sme*evi = integrated thought combining guess, smelling, and evidence",cognitive
gue*cle,blend of guess and clear,gue*cle = synthesis of guess with clear,cognitive
gue*cle*evi,"triple synthesis: guess, clear, and evidence","gue*cle*evi = integrated thought combining guess, clear, and evidence",cognitive
gue*dar,blend of guess and dark,gue*dar = synthesis of guess with dark,cognitive
gue*dar*evi,"triple synthesis: guess, dark, and evidence","gue*dar*evi = integrated thought combining guess, dark, and evidence",cognitive
gue*luc,blend of guess and lucid,gue*luc = synthesis of guess with lucid,cognitive
gue*luc*evi,"triple synthesis: guess, lucid, and evidence","gue*luc*evi = integrated thought combining guess, lucid, and evidence",cognitive
gue*clo,blend of guess and cloudy,gue*clo = synthesis of guess with cloudy,cognitive
gue*clo*evi,"triple synthesis: guess, cloudy, and evidence","gue*clo*evi = integrated thought combining guess, cloudy, and evidence",cognitive
gue*ful,blend of guess and full,gue*ful = synthesis of guess with full,cognitive
gue*ful*evi,"triple synthesis: guess, full, and evidence","gue*ful*evi = integrated thought combining guess, full, and evidence",cognitive
gue*emp,blend of guess and empty,gue*emp = synthesis of guess with empty,cognitive
gue*emp*evi,"triple synthesis: guess, empty, and evidence","gue*emp*evi = integrated thought combining guess, empty, and evidence",cognitive
gue*abs,blend of guess and abstract,gue*abs = synthesis of guess with abstract,cognitive
gue*abs*evi,"triple synthesis: guess, abstract, and evidence","gue*abs*evi = integrated thought combining guess, abstract, and evidence",cognitive
gue*rem,blend of guess and remembering,gue*rem = synthesis of guess with remembering,cognitive
gue*rem*evi,"triple synthesis: guess, remembering, and evidence","gue*rem*evi = integrated thought combining guess, remembering, and evidence",cognitive
gue*ima,blend of guess and imagining,gue*ima = synthesis of guess with imagining,cognitive
gue*ima*evi,"triple synthesis: guess, imagining, and evidence","gue*ima*evi = integrated thought combining guess, imagining, and evidence",cognitive
gue*dre,blend of guess and dreaming,gue*dre = synthesis of guess with dreaming,cognitive
gue*dre*evi,"triple synthesis: guess, dreaming, and evidence","gue*dre*evi = integrated thought combining guess, dreaming, and evidence",cognitive
gue*for,blend of guess and forget,gue*for = synthesis of guess with forget,cognitive
gue*for*evi,"triple synthesis: guess, forget, and evidence","gue*for*evi = integrated thought combining guess, forget, and evidence",cognitive
gue*rec,blend of guess and recall,gue*rec = synthesis of guess with recall,cognitive
gue*rec*evi,"triple synthesis: guess, recall, and evidence","gue*rec*evi = integrated thought combining guess, recall, and evidence",cognitive
gue*ang,blend of guess and anger,gue*ang = synthesis of guess with anger,cognitive
gue*ang*evi,"triple synthesis: guess, anger, and evidence","gue*ang*evi = integrated thought combining guess, anger, and evidence",cognitive
gue*joy,blend of guess and joy,gue*joy = synthesis of guess with joy,cognitive
gue*joy*evi,"triple synthesis: guess, joy, and evidence","gue*joy*evi = integrated thought combining guess, joy, and evidence",cognitive
gue*sad,blend of guess and sadness,gue*sad = synthesis of guess with sadness,cognitive
gue*sad*evi,"triple synthesis: guess, sadness, and evidence","gue*sad*evi = integrated thought combining guess, sadness, and evidence",cognitive
gue*fea,blend of guess and fear,gue*fea = synthesis of guess with fear,cognitive
gue*fea*evi,"triple synthesis: guess, fear, and evidence","gue*fea*evi = integrated thought combining guess, fear, and evidence",cognitive
gue*des,blend of guess and desire,gue*des = synthesis of guess with desire,cognitive
gue*des*evi,"triple synthesis: guess, desire, and evidence","gue*des*evi = integrated thought combining guess, desire, and evidence",cognitive
gue*hop,blend of guess and hope,gue*hop = synthesis of guess with hope,cognitive
gue*hop*evi,"triple synthesis: guess, hope, and evidence","gue*hop*evi = integrated thought combining guess, hope, and evidence",cognitive
gue*cou,blend of guess and courage,gue*cou = synthesis of guess with courage,cognitive
gue*cou*evi,"triple synthesis: guess, courage, and evidence","gue*cou*evi = integrated thought combining guess, courage, and evidence",cognitive
gue*cow,blend of guess and coward,gue*cow = synthesis of guess with coward,cognitive
gue*cow*evi,"triple synthesis: guess, coward, and evidence","gue*cow*evi = integrated thought combining guess, coward, and evidence",cognitive
gue*lov,blend of guess and love,gue*lov = synthesis of guess with love,cognitive
gue*lov*evi,"triple synthesis: guess, love, and evidence","gue*lov*evi = integrated thought combining guess, love, and evidence",cognitive
gue*hat,blend of guess and hate,gue*hat = synthesis of guess with hate,cognitive
gue*hat*evi,"triple synthesis: guess, hate, and evidence","gue*hat*evi = integrated thought combining guess, hate, and evidence",cognitive
gue*pri,blend of guess and pride,gue*pri = synthesis of guess with pride,cognitive
gue*pri*evi,"triple synthesis: guess, pride, and evidence","gue*pri*evi = integrated thought combining guess, pride, and evidence",cognitive
gue*sha,blend of guess and shame,gue*sha = synthesis of guess with shame,cognitive
gue*sha*evi,"triple synthesis: guess, shame, and evidence","gue*sha*evi = integrated thought combining guess, shame, and evidence",cognitive
gue*bor,blend of guess and bored,gue*bor = synthesis of guess with bored,cognitive
gue*bor*evi,"triple synthesis: guess, bored, and evidence","gue*bor*evi = integrated thought combining guess, bored, and evidence",cognitive
gue*exc,blend of guess and excitement,gue*exc = synthesis of guess with excitement,cognitive
gue*exc*evi,"triple synthesis: guess, excitement, and evidence","gue*exc*evi = integrated thought combining guess, excitement, and evidence",cognitive
gue*anx,blend of guess and anxious,gue*anx = synthesis of guess with anxious,cognitive
gue*anx*evi,"triple synthesis: guess, anxious, and evidence","gue*anx*evi = integrated thought combining guess, anxious, and evidence",cognitive
gue*cal,blend of guess and calm,gue*cal = synthesis of guess with calm,cognitive
gue*cal*evi,"triple synthesis: guess, calm, and evidence","gue*cal*evi = integrated thought combining guess, calm, and evidence",cognitive
gue*cur,blend of guess and curious,gue*cur = synthesis of guess with curious,cognitive
gue*cur*evi,"triple synthesis: guess, curious, and evidence","gue*cur*evi = integrated thought combining guess, curious, and evidence",cognitive
gue*cre,blend of guess and creative,gue*cre = synthesis of guess with creative,cognitive
gue*cre*evi,"triple synthesis: guess, creative, and evidence","gue*cre*evi = integrated thought combining guess, creative, and evidence",cognitive
gue*pra,blend of guess and practical,gue*pra = synthesis of guess with practical,cognitive
gue*pra*evi,"triple synthesis: guess, practical, and evidence","gue*pra*evi = integrated thought combining guess, practical, and evidence",cognitive
gue*log,blend of guess and logical,gue*log = synthesis of guess with logical,cognitive
gue*log*evi,"triple synthesis: guess, logical, and evidence","gue*log*evi = integrated thought combining guess, logical, and evidence",cognitive
gue*ilg,blend of guess and illogical,gue*ilg = synthesis of guess with illogical,cognitive
gue*ilg*evi,"triple synthesis: guess, illogical, and evidence","gue*ilg*evi = integrated thought combining guess, illogical, and evidence",cognitive
gue*val,blend of guess and valid,gue*val = synthesis of guess with valid,cognitive
gue*val*evi,"triple synthesis: guess, valid, and evidence","gue*val*evi = integrated thought combining guess, valid, and evidence",cognitive
gue*fal,blend of guess and false,gue*fal = synthesis of guess with false,cognitive
gue*fal*evi,"triple synthesis: guess, false, and evidence","gue*fal*evi = integrated thought combining guess, false, and evidence",cognitive
gue*tru,blend of guess and true,gue*tru = synthesis of guess with true,cognitive
gue*tru*evi,"triple synthesis: guess, true, and evidence","gue*tru*evi = integrated thought combining guess, true, and evidence",cognitive
gue*par,blend of guess and paradoxical,gue*par = synthesis of guess with paradoxical,cognitive
gue*par*evi,"triple synthesis: guess, paradoxical, and evidence","gue*par*evi = integrated thought combining guess, paradoxical, and evidence",cognitive
gue*jus,blend of guess and justified,gue*jus = synthesis of guess with justified,cognitive
gue*jus*evi,"triple synthesis: guess, justified, and evidence","gue*jus*evi = integrated thought combining guess, justified, and evidence",cognitive
gue*int,blend of guess and intuition,gue*int = synthesis of guess with intuition,cognitive
gue*int*evi,"triple synthesis: guess, intuition, and evidence","gue*int*evi = integrated thought combining guess, intuition, and evidence",cognitive
gue*aim,blend of guess and aim,gue*aim = synthesis of guess with aim,cognitive
gue*aim*evi,"triple synthesis: guess, aim, and evidence","gue*aim*evi = integrated thought combining guess, aim, and evidence",cognitive
gue*pur,blend of guess and purpose,gue*pur = synthesis of guess with purpose,cognitive
gue*pur*evi,"triple synthesis: guess, purpose, and evidence","gue*pur*evi = integrated thought combining guess, purpose, and evidence",cognitive
gue*puz,blend of guess and puzzle,gue*puz = synthesis of guess with puzzle,cognitive
gue*puz*evi,"triple synthesis: guess, puzzle, and evidence","gue*puz*evi = integrated thought combining guess, puzzle, and evidence",cognitive
gue*wis,blend of guess and wise,gue*wis = synthesis of guess with wise,cognitive
gue*wis*evi,"triple synthesis: guess, wise, and evidence","gue*wis*evi = integrated thought combining guess, wise, and evidence",cognitive
gue*ign,blend of guess and ignorant,gue*ign = synthesis of guess with ignorant,cognitive
gue*ign*evi,"triple synthesis: guess, ignorant, and evidence","gue*ign*evi = integrated thought combining guess, ignorant, and evidence",cognitive
asu*evi,blend of assume and evidence,asu*evi = synthesis of assume with evidence,cognitive
asu*evi*bel,"triple synthesis: assume, evidence, and believing","asu*evi*bel = integrated thought combining assume, evidence, and believing",cognitive
asu*bel,blend of assume and believing,asu*bel = synthesis of assume with believing,cognitive
asu*bel*bel,"triple synthesis: assume, believing, and believing","asu*bel*bel = integrated thought combining assume, believing, and believing",cognitive
asu*lik,blend of assume and likely,asu*lik = synthesis of assume with likely,cognitive
asu*lik*bel,"triple synthesis: assume, likely, and believing","asu*lik*bel = integrated thought combining assume, likely, and believing",cognitive
asu*foc,blend of assume and focus,asu*foc = synthesis of assume with focus,cognitive
asu*foc*bel,"triple synthesis: assume, focus, and believing","asu*foc*bel = integrated thought combining assume, focus, and believing",cognitive
asu*atn,blend of assume and attention,asu*atn = synthesis of assume with attention,cognitive
asu*atn*bel,"triple synthesis: assume, attention, and believing","asu*atn*bel = integrated thought combining assume, attention, and believing",cognitive
asu*con,blend of assume and concentrate,asu*con = synthesis of assume with concentrate,cognitive
asu*con*bel,"triple synthesis: assume, concentrate, and believing","asu*con*bel = integrated thought combining assume, concentrate, and believing",cognitive
asu*dis,blend of assume and distract,asu*dis = synthesis of assume with distract,cognitive
asu*dis*bel,"triple synthesis: assume, distract, and believing","asu*dis*bel = integrated thought combining assume, distract, and believing",cognitive
asu*obs,blend of assume and observe,asu*obs = synthesis of assume with observe,cognitive
asu*obs*bel,"triple synthesis: assume, observe, and believing","asu*obs*bel = integrated thought combining assume, observe, and believing",cognitive
asu*per,blend of assume and perceive,asu*per = synthesis of assume with perceive,cognitive
asu*per*bel,"triple synthesis: assume, perceive, and believing","asu*per*bel = integrated thought combining assume, perceive, and believing",cognitive
asu*abl,blend of assume and able,asu*abl = synthesis of assume with able,cognitive
asu*abl*bel,"triple synthesis: assume, able, and believing","asu*abl*bel = integrated thought combining assume, able, and believing",cognitive
asu*aud,blend of assume and hearing,asu*aud = synthesis of assume with hearing,cognitive
asu*aud*bel,"triple synthesis: assume, hearing, and believing","asu*aud*bel = integrated thought combining assume, hearing, and believing",cognitive
asu*see,blend of assume and seeing,asu*see = synthesis of assume with seeing,cognitive
asu*see*bel,"triple synthesis: assume, seeing, and believing","asu*see*bel = integrated thought combining assume, seeing, and believing",cognitive
asu*sme,blend of assume and smelling,asu*sme = synthesis of assume with smelling,cognitive
asu*sme*bel,"triple synthesis: assume, smelling, and believing","asu*sme*bel = integrated thought combining assume, smelling, and believing",cognitive
asu*cle,blend of assume and clear,asu*cle = synthesis of assume with clear,cognitive
asu*cle*bel,"triple synthesis: assume, clear, and believing","asu*cle*bel = integrated thought combining assume, clear, and believing",cognitive
asu*dar,blend of assume and dark,asu*dar = synthesis of assume with dark,cognitive
asu*dar*bel,"triple synthesis: assume, dark, and believing","asu*dar*bel = integrated thought combining assume, dark, and believing",cognitive
asu*luc,blend of assume and lucid,asu*luc = synthesis of assume with lucid,cognitive
asu*luc*bel,"triple synthesis: assume, lucid, and believing","asu*luc*bel = integrated thought combining assume, lucid, and believing",cognitive
asu*clo,blend of assume and cloudy,asu*clo = synthesis of assume with cloudy,cognitive
asu*clo*bel,"triple synthesis: assume, cloudy, and believing","asu*clo*bel = integrated thought combining assume, cloudy, and believing",cognitive
asu*ful,blend of assume and full,asu*ful = synthesis of assume with full,cognitive
asu*ful*bel,"triple synthesis: assume, full, and believing","asu*ful*bel = integrated thought combining assume, full, and believing",cognitive
asu*emp,blend of assume and empty,asu*emp = synthesis of assume with empty,cognitive
asu*emp*bel,"triple synthesis: assume, empty, and believing","asu*emp*bel = integrated thought combining assume, empty, and believing",cognitive
asu*abs,blend of assume and abstract,asu*abs = synthesis of assume with abstract,cognitive
asu*abs*bel,"triple synthesis: assume, abstract, and believing","asu*abs*bel = integrated thought combining assume, abstract, and believing",cognitive
asu*rem,blend of assume and remembering,asu*rem = synthesis of assume with remembering,cognitive
asu*rem*bel,"triple synthesis: assume, remembering, and believing","asu*rem*bel = integrated thought combining assume, remembering, and believing",cognitive
asu*ima,blend of assume and imagining,asu*ima = synthesis of assume with imagining,cognitive
asu*ima*bel,"triple synthesis: assume, imagining, and believing","asu*ima*bel = integrated thought combining assume, imagining, and believing",cognitive
asu*dre,blend of assume and dreaming,asu*dre = synthesis of assume with dreaming,cognitive
asu*dre*bel,"triple synthesis: assume, dreaming, and believing","asu*dre*bel = integrated thought combining assume, dreaming, and believing",cognitive
asu*for,blend of assume and forget,asu*for = synthesis of assume with forget,cognitive
asu*for*bel,"triple synthesis: assume, forget, and believing","asu*for*bel = integrated thought combining assume, forget, and believing",cognitive
asu*rec,blend of assume and recall,asu*rec = synthesis of assume with recall,cognitive
asu*rec*bel,"triple synthesis: assume, recall, and believing","asu*rec*bel = integrated thought combining assume, recall, and believing",cognitive
asu*ang,blend of assume and anger,asu*ang = synthesis of assume with anger,cognitive
asu*ang*bel,"triple synthesis: assume, anger, and believing","asu*ang*bel = integrated thought combining assume, anger, and believing",cognitive
asu*joy,blend of assume and joy,asu*joy = synthesis of assume with joy,cognitive
asu*joy*bel,"triple synthesis: assume, joy, and believing","asu*joy*bel = integrated thought combining assume, joy, and believing",cognitive
asu*sad,blend of assume and sadness,asu*sad = synthesis of assume with sadness,cognitive
asu*sad*bel,"triple synthesis: assume, sadness, and believing","asu*sad*bel = integrated thought combining assume, sadness, and believing",cognitive
asu*fea,blend of assume and fear,asu*fea = synthesis of assume with fear,cognitive
asu*fea*bel,"triple synthesis: assume, fear, and believing","asu*fea*bel = integrated thought combining assume, fear, and believing",cognitive
asu*des,blend of assume and desire,asu*des = synthesis of assume with desire,cognitive
asu*des*bel,"triple synthesis: assume, desire, and believing","asu*des*bel = integrated thought combining assume, desire, and believing",cognitive
asu*hop,blend of assume and hope,asu*hop = synthesis of assume with hope,cognitive
asu*hop*bel,"triple synthesis: assume, hope, and believing","asu*hop*bel = integrated thought combining assume, hope, and believing",cognitive
asu*cou,blend of assume and courage,asu*cou = synthesis of assume with courage,cognitive
asu*cou*bel,"triple synthesis: assume, courage, and believing","asu*cou*bel = integrated thought combining assume, courage, and believing",cognitive
asu*cow,blend of assume and coward,asu*cow = synthesis of assume with coward,cognitive
asu*cow*bel,"triple synthesis: assume, coward, and believing","asu*cow*bel = integrated thought combining assume, coward, and believing",cognitive
asu*lov,blend of assume and love,asu*lov = synthesis of assume with love,cognitive
asu*lov*bel,"triple synthesis: assume, love, and believing","asu*lov*bel = integrated thought combining assume, love, and believing",cognitive
asu*hat,blend of assume and hate,asu*hat = synthesis of assume with hate,cognitive
asu*hat*bel,"triple synthesis: assume, hate, and believing","asu*hat*bel = integrated thought combining assume, hate, and believing",cognitive
asu*pri,blend of assume and pride,asu*pri = synthesis of assume with pride,cognitive
asu*pri*bel,"triple synthesis: assume, pride, and believing","asu*pri*bel = integrated thought combining assume, pride, and believing",cognitive
asu*sha,blend of assume and shame,asu*sha = synthesis of assume with shame,cognitive
asu*sha*bel,"triple synthesis: assume, shame, and believing","asu*sha*bel = integrated thought combining assume, shame, and believing",cognitive
asu*bor,blend of assume and bored,asu*bor = synthesis of assume with bored,cognitive
asu*bor*bel,"triple synthesis: assume, bored, and believing","asu*bor*bel = integrated thought combining assume, bored, and believing",cognitive
asu*exc,blend of assume and excitement,asu*exc = synthesis of assume with excitement,cognitive
asu*exc*bel,"triple synthesis: assume, excitement, and believing","asu*exc*bel = integrated thought combining assume, excitement, and believing",cognitive
asu*anx,blend of assume and anxious,asu*anx = synthesis of assume with anxious,cognitive
asu*anx*bel,"triple synthesis: assume, anxious, and believing","asu*anx*bel = integrated thought combining assume, anxious, and believing",cognitive
asu*cal,blend of assume and calm,asu*cal = synthesis of assume with calm,cognitive
asu*cal*bel,"triple synthesis: assume, calm, and believing","asu*cal*bel = integrated thought combining assume, calm, and believing",cognitive
asu*cur,blend of assume and curious,asu*cur = synthesis of assume with curious,cognitive
asu*cur*bel,"triple synthesis: assume, curious, and believing","asu*cur*bel = integrated thought combining assume, curious, and believing",cognitive
asu*cre,blend of assume and creative,asu*cre = synthesis of assume with creative,cognitive
asu*cre*bel,"triple synthesis: assume, creative, and believing","asu*cre*bel = integrated thought combining assume, creative, and believing",cognitive
asu*pra,blend of assume and practical,asu*pra = synthesis of assume with practical,cognitive
asu*pra*bel,"triple synthesis: assume, practical, and believing","asu*pra*bel = integrated thought combining assume, practical, and believing",cognitive
asu*log,blend of assume and logical,asu*log = synthesis of assume with logical,cognitive
asu*log*bel,"triple synthesis: assume, logical, and believing","asu*log*bel = integrated thought combining assume, logical, and believing",cognitive
asu*ilg,blend of assume and illogical,asu*ilg = synthesis of assume with illogical,cognitive
asu*ilg*bel,"triple synthesis: assume, illogical, and believing","asu*ilg*bel = integrated thought combining assume, illogical, and believing",cognitive
asu*val,blend of assume and valid,asu*val = synthesis of assume with valid,cognitive
asu*val*bel,"triple synthesis: assume, valid, and believing","asu*val*bel = integrated thought combining assume, valid, and believing",cognitive
asu*fal,blend of assume and false,asu*fal = synthesis of assume with false,cognitive
asu*fal*bel,"triple synthesis: assume, false, and believing","asu*fal*bel = integrated thought combining assume, false, and believing",cognitive
asu*tru,blend of assume and true,asu*tru = synthesis of assume with true,cognitive
asu*tru*bel,"triple synthesis: assume, true, and believing","asu*tru*bel = integrated thought combining assume, true, and believing",cognitive
asu*par,blend of assume and paradoxical,asu*par = synthesis of assume with paradoxical,cognitive
asu*par*bel,"triple synthesis: assume, paradoxical, and believing","asu*par*bel = integrated thought combining assume, paradoxical, and believing",cognitive
asu*jus,blend of assume and justified,asu*jus = synthesis of assume with justified,cognitive
asu*jus*bel,"triple synthesis: assume, justified, and believing","asu*jus*bel = integrated thought combining assume, justified, and believing",cognitive
asu*int,blend of assume and intuition,asu*int = synthesis of assume with intuition,cognitive
asu*int*bel,"triple synthesis: assume, intuition, and believing","asu*int*bel = integrated thought combining assume, intuition, and believing",cognitive
asu*aim,blend of assume and aim,asu*aim = synthesis of assume with aim,cognitive
asu*aim*bel,"triple synthesis: assume, aim, and believing","asu*aim*bel = integrated thought combining assume, aim, and believing",cognitive
asu*pur,blend of assume and purpose,asu*pur = synthesis of assume with purpose,cognitive
asu*pur*bel,"triple synthesis: assume, purpose, and believing","asu*pur*bel = integrated thought combining assume, purpose, and believing",cognitive
asu*puz,blend of assume and puzzle,asu*puz = synthesis of assume with puzzle,cognitive
asu*puz*bel,"triple synthesis: assume, puzzle, and believing","asu*puz*bel = integrated thought combining assume, puzzle, and believing",cognitive
asu*wis,blend of assume and wise,asu*wis = synthesis of assume with wise,cognitive
asu*wis*bel,"triple synthesis: assume, wise, and believing","asu*wis*bel = integrated thought combining assume, wise, and believing",cognitive
asu*ign,blend of assume and ignorant,asu*ign = synthesis of assume with ignorant,cognitive
asu*ign*bel,"triple synthesis: assume, ignorant, and believing","asu*ign*bel = integrated thought combining assume, ignorant, and believing",cognitive
evi*bel,blend of evidence and believing,evi*bel = synthesis of evidence with believing,cognitive
evi*bel*lik,"triple synthesis: evidence, believing, and likely","evi*bel*lik = integrated thought combining evidence, believing, and likely",cognitive
evi*lik,blend of evidence and likely,evi*lik = synthesis of evidence with likely,cognitive
evi*lik*lik,"triple synthesis: evidence, likely, and likely","evi*lik*lik = integrated thought combining evidence, likely, and likely",cognitive
evi*foc,blend of evidence and focus,evi*foc = synthesis of evidence with focus,cognitive
evi*foc*lik,"triple synthesis: evidence, focus, and likely","evi*foc*lik = integrated thought combining evidence, focus, and likely",cognitive
evi*atn,blend of evidence and attention,evi*atn = synthesis of evidence with attention,cognitive
evi*atn*lik,"triple synthesis: evidence, attention, and likely","evi*atn*lik = integrated thought combining evidence, attention, and likely",cognitive
evi*con,blend of evidence and concentrate,evi*con = synthesis of evidence with concentrate,cognitive
evi*con*lik,"triple synthesis: evidence, concentrate, and likely","evi*con*lik = integrated thought combining evidence, concentrate, and likely",cognitive
evi*dis,blend of evidence and distract,evi*dis = synthesis of evidence with distract,cognitive
evi*dis*lik,"triple synthesis: evidence, distract, and likely","evi*dis*lik = integrated thought combining evidence, distract, and likely",cognitive
evi*obs,blend of evidence and observe,evi*obs = synthesis of evidence with observe,cognitive
evi*obs*lik,"triple synthesis: evidence, observe, and likely","evi*obs*lik = integrated thought combining evidence, observe, and likely",cognitive
evi*per,blend of evidence and perceive,evi*per = synthesis of evidence with perceive,cognitive
evi*per*lik,"triple synthesis: evidence, perceive, and likely","evi*per*lik = integrated thought combining evidence, perceive, and likely",cognitive
evi*abl,blend of evidence and able,evi*abl = synthesis of evidence with able,cognitive
evi*abl*lik,"triple synthesis: evidence, able, and likely","evi*abl*lik = integrated thought combining evidence, able, and likely",cognitive
evi*aud,blend of evidence and hearing,evi*aud = synthesis of evidence with hearing,cognitive
evi*aud*lik,"triple synthesis: evidence, hearing, and likely","evi*aud*lik = integrated thought combining evidence, hearing, and likely",cognitive
evi*see,blend of evidence and seeing,evi*see = synthesis of evidence with seeing,cognitive
evi*see*lik,"triple synthesis: evidence, seeing, and likely","evi*see*lik = integrated thought combining evidence, seeing, and likely",cognitive
evi*sme,blend of evidence and smelling,evi*sme = synthesis of evidence with smelling,cognitive
evi*sme*lik,"triple synthesis: evidence, smelling, and likely","evi*sme*lik = integrated thought combining evidence, smelling, and likely",cognitive
evi*cle,blend of evidence and clear,evi*cle = synthesis of evidence with clear,cognitive
evi*cle*lik,"triple synthesis: evidence, clear, and likely","evi*cle*lik = integrated thought combining evidence, clear, and likely",cognitive
evi*dar,blend of evidence and dark,evi*dar = synthesis of evidence with dark,cognitive
evi*dar*lik,"triple synthesis: evidence, dark, and likely","evi*dar*lik = integrated thought combining evidence, dark, and likely",cognitive
evi*luc,blend of evidence and lucid,evi*luc = synthesis of evidence with lucid,cognitive
evi*luc*lik,"triple synthesis: evidence, lucid, and likely","evi*luc*lik = integrated thought combining evidence, lucid, and likely",cognitive
evi*clo,blend of evidence and cloudy,evi*clo = synthesis of evidence with cloudy,cognitive
evi*clo*lik,"triple synthesis: evidence, cloudy, and likely","evi*clo*lik = integrated thought combining evidence, cloudy, and likely",cognitive
evi*ful,blend of evidence and full,evi*ful = synthesis of evidence with full,cognitive
evi*ful*lik,"triple synthesis: evidence, full, and likely","evi*ful*lik = integrated thought combining evidence, full, and likely",cognitive
evi*emp,blend of evidence and empty,evi*emp = synthesis of evidence with empty,cognitive
evi*emp*lik,"triple synthesis: evidence, empty, and likely","evi*emp*lik = integrated thought combining evidence, empty, and likely",cognitive
evi*abs,blend of evidence and abstract,evi*abs = synthesis of evidence with abstract,cognitive
evi*abs*lik,"triple synthesis: evidence, abstract, and likely","evi*abs*lik = integrated thought combining evidence, abstract, and likely",cognitive
evi*rem,blend of evidence and remembering,evi*rem = synthesis of evidence with remembering,cognitive
evi*rem*lik,"triple synthesis: evidence, remembering, and likely","evi*rem*lik = integrated thought combining evidence, remembering, and likely",cognitive
evi*ima,blend of evidence and imagining,evi*ima = synthesis of evidence with imagining,cognitive
evi*ima*lik,"triple synthesis: evidence, imagining, and likely","evi*ima*lik = integrated thought combining evidence, imagining, and likely",cognitive
evi*dre,blend of evidence and dreaming,evi*dre = synthesis of evidence with dreaming,cognitive
evi*dre*lik,"triple synthesis: evidence, dreaming, and likely","evi*dre*lik = integrated thought combining evidence, dreaming, and likely",cognitive
evi*for,blend of evidence and forget,evi*for = synthesis of evidence with forget,cognitive
evi*for*lik,"triple synthesis: evidence, forget, and likely","evi*for*lik = integrated thought combining evidence, forget, and likely",cognitive
evi*rec,blend of evidence and recall,evi*rec = synthesis of evidence with recall,cognitive
evi*rec*lik,"triple synthesis: evidence, recall, and likely","evi*rec*lik = integrated thought combining evidence, recall, and likely",cognitive
evi*ang,blend of evidence and anger,evi*ang = synthesis of evidence with anger,cognitive
evi*ang*lik,"triple synthesis: evidence, anger, and likely","evi*ang*lik = integrated thought combining evidence, anger, and likely",cognitive
evi*joy,blend of evidence and joy,evi*joy = synthesis of evidence with joy,cognitive
evi*joy*lik,"triple synthesis: evidence, joy, and likely","evi*joy*lik = integrated thought combining evidence, joy, and likely",cognitive
evi*sad,blend of evidence and sadness,evi*sad = synthesis of evidence with sadness,cognitive
evi*sad*lik,"triple synthesis: evidence, sadness, and likely","evi*sad*lik = integrated thought combining evidence, sadness, and likely",cognitive
evi*fea,blend of evidence and fear,evi*fea = synthesis of evidence with fear,cognitive
evi*fea*lik,"triple synthesis: evidence, fear, and likely","evi*fea*lik = integrated thought combining evidence, fear, and likely",cognitive
evi*des,blend of evidence and desire,evi*des = synthesis of evidence with desire,cognitive
evi*des*lik,"triple synthesis: evidence, desire, and likely","evi*des*lik = integrated thought combining evidence, desire, and likely",cognitive
evi*hop,blend of evidence and hope,evi*hop = synthesis of evidence with hope,cognitive
evi*hop*lik,"triple synthesis: evidence, hope, and likely","evi*hop*lik = integrated thought combining evidence, hope, and likely",cognitive
evi*cou,blend of evidence and courage,evi*cou = synthesis of evidence with courage,cognitive
evi*cou*lik,"triple synthesis: evidence, courage, and likely","evi*cou*lik = integrated thought combining evidence, courage, and likely",cognitive
evi*cow,blend of evidence and coward,evi*cow = synthesis of evidence with coward,cognitive
