expression,meaning,example,domain
sto@ero^0.8,sto with 80% ero,sto@ero^0.8 = 80% affected sto,physical
sto@har,hard stone,sto@har = granite-like,physical
sto@hot,hot aspect of sto,sto@hot = hot in sto,physical
sto@ruf,ruf aspect of sto,sto@ruf = ruf in sto,physical
sto@smo,smo aspect of sto,sto@smo = smo in sto,physical
sto@sof,sof aspect of sto,sto@sof = sof in sto,physical
sto@sol,stone in solid,sto@sol = stone structure,physical
sto@vis,vis aspect of sto,sto@vis = vis in sto,physical
sto@wet,wet aspect of sto,sto@wet = wet in sto,physical
sto^0.7,dense stone,sto^0.7 = mineral-rich,physical
str^0.2,20% str,str^0.2 = 20% effect,physical
str^0.4,40% str,str^0.4 = 40% effect,physical
str^0.5,moderate stretch,str^0.5 = elastic extension,physical
str^0.6,60% str,str^0.6 = 60% effect,physical
str^0.8,80% str,str^0.8 = 80% effect,physical
str^0.9,extreme stretch,str^0.9 = rupture point,physical
sub given tim^0.6,moderate sublimation,sub given tim^0.6 = dry ice loss,physical
sub*eva,sublimation-evaporation,sub*eva = direct vaporization,physical
sub*sol,sublimation-solidification,sub*sol = deposition,physical
sub@0.0,sublimation point,sub@0.0 = triple point,physical
sub^0.5,partial sublimation,sub^0.5 = dry ice losing,physical
sur*war,surface warping,sur*war = deformation,physical
sur^0.1,10% surface effect,sur^0.1 = minimal surface,physical
sur^0.9,90% surface effect,sur^0.9 = high surface,physical
tem given pre@alt,altitude-dependent temp,tem given pre@alt = thin cold air,physical
tem@crit,at critical temperature,tem@crit = supercritical,physical
tex*ero,texture erosion,tex*ero = surface loss,physical
tex*grain,grain texture,tex*grain = surface pattern,physical
tim^0.2,20% tim,tim^0.2 = 20% effect,physical
tim^0.4,40% tim,tim^0.4 = 40% effect,physical
tim^0.6,60% tim,tim^0.6 = 60% effect,physical
tim^0.8,80% tim,tim^0.8 = 80% effect,physical
tou@har,contact with har aspect,tou@har = contact affecting har,physical
tou@liq,liquid contact,tou@liq = immersion,physical
tou@smo,contact with smo aspect,tou@smo = contact affecting smo,physical
tou@sol,solid contact,tou@sol = hard touching,physical
tou@tem,contact with tem aspect,tou@tem = contact affecting tem,physical
tou@vis,contact with vis aspect,tou@vis = contact affecting vis,physical
tou^0.3,light contact,tou^0.3 = gentle touch,physical
tou^0.9,firm contact,tou^0.9 = pressing,physical
tra without vis,transparent void,tra without vis = invisible,physical
tra^0.2,20% tra,tra^0.2 = 20% effect,physical
tra^0.4,40% tra,tra^0.4 = 40% effect,physical
tra^0.5,semi-transparent,tra^0.5 = tinted glass,physical
tra^0.6,60% tra,tra^0.6 = 60% effect,physical
tra^0.8,80% tra,tra^0.8 = 80% effect,physical
twi*rol,twisting-rolling,twi*rol = helical motion,physical
twi@rig,twisting rigid,twi@rig = torsional stress,physical
twi^0.5,moderate twist,twi^0.5 = partial torsion,physical
twi^0.9,tight twist,twi^0.9 = high torsional stress,physical
vap given hot,hot vapor,vap given hot = superheated,physical
vap given hot@air,hot vapor in air,vap given hot@air = heat shimmer,physical
vap*gas,vapor-gas mixture,vap*gas = humid air,physical
vap@inv,invisible vapor,vap@inv = gaseous,physical
vap@vis,visible vapor,vap@vis = condensed wisps,physical
vel^0.9,extremely velvety,vel^0.9 = soft plush,physical
vib given tim^0.5,moderate vibration,vib given tim^0.5 = trembling,physical
vib*osc,vibration pattern,vib*osc = oscillatory modes,physical
vis > inv,visibility dominance,vis > inv = opaque material,physical
vis given hot given tem,thermal visibility change,vis given hot given tem = refraction,physical
vis without cle,visible but unclear,vis without cle = opaque gloss,physical
vis without opa,vis absence of opa,vis without opa = pure vis,physical
vis*opa*tra,visibility spectrum,vis*opa*tra = tinted gradient,physical
vis*tra*cle,visible-transparent-clear,vis*tra*cle = crystal clear,physical
vis^0.0 ... vis^1.0,opaque to transparent,vis^0.0 ... vis^1.0 = visibility range,physical
vis^0.0*bri^1.0,paradox: opaque bright,vis^0.0*bri^1.0 = light-emitting black,physical
vis^0.1,barely visible,vis^0.1 = nearly opaque,physical
vis^0.2,20% vis,vis^0.2 = 20% effect,physical
vis^0.4,40% vis,vis^0.4 = 40% effect,physical
vis^0.5,partially visible,vis^0.5 = translucent,physical
vis^0.6,60% vis,vis^0.6 = 60% effect,physical
vis^0.8,80% vis,vis^0.8 = 80% effect,physical
vis^0.9,completely visible,vis^0.9 = transparent,physical
vis±inv,visibility-invisibility,vis±inv = perceptual threshold,physical
void@ful,void in full,void@ful = partial density,physical
vol^0.3,30% volume,vol^0.3 = small volume,physical
vol^0.7,70% volume,vol^0.7 = large volume,physical
wall@gas,wall of gas,wall@gas = wall structure,physical
wall@liq,wall of liq,wall@liq = wall structure,physical
wall@sol,wall of sol,wall@sol = wall structure,physical
war given tem,heat-warped,war given tem = wood warping,physical
wat given big,water in large volume,wat given big = bulk liquid,physical
wat given col^0.95,ice formation,wat given col^0.95 = freezing,physical
wat given col^0.99,ice crystalline,wat given col^0.99 = frozen,physical
wat given col^0.99 given pre^0.9,deep ice conditions,wat given col^0.99 given pre^0.9 = frozen under pressure,physical
wat given hot^0.95,superheated water,wat given hot^0.95 = steam,physical
wat given tem^0.1,ice formation,wat given tem^0.1 = freezing point,physical
wat given tem^0.9,boiling water,wat given tem^0.9 = steam state,physical
wat without col,warm water,wat without col = room temp,physical
wat without sol,pure water,wat without sol = H2O alone,physical
wat*flo,flowing water,wat*flo = current,physical
wat*sol,solution state,wat*sol = dissolved,physical
wat@cle,clear water,wat@cle = pure transparent,physical
wat@col,cold water state,wat@col = chilled,physical
wav*pre,wave-pressure coupling,wav*pre = shock wave,physical
wav@air,air waves,wav@air = sound,physical
wav@down,wav in down direction,wav@down = directed wav,physical
wav@in,wav in in direction,wav@in = directed wav,physical
wav@up,wav in up direction,wav@up = directed wav,physical
wav@wat,water waves,wav@wat = ocean surface,physical
wav^0.5,moderate waves,wav^0.5 = water ripples,physical
wav^0.9,intense waves,wav^0.9 = storm surge,physical
wea given tim^0.9,rapid weathering,wea given tim^0.9 = chemical attack,physical
wea^0.2,20% wea,wea^0.2 = 20% effect,physical
wea^0.4,40% wea,wea^0.4 = 40% effect,physical
wea^0.5,moderate weathering,wea^0.5 = seasonal change,physical
wea^0.6,60% wea,wea^0.6 = 60% effect,physical
wea^0.8,80% wea,wea^0.8 = 80% effect,physical
wear given mov*fre,wear from motion and friction,wear given mov*fre = abrasion,physical
wet given sol,water-saturated solid,wet given sol = swelling,physical
wet without dry,wet absence of dry,wet without dry = pure wet,physical
wet without flu,wet but stagnant,wet without flu = saturated stasis,physical
wet*dry,moisture transition,wet*dry = drying process,physical
wet*dry*flu,moisture-flow state,wet*dry*flu = drying process,physical
wet^0.2,20% wet,wet^0.2 = 20% effect,physical
wet^0.4,40% wet,wet^0.4 = 40% effect,physical
wet^0.5,moderately wet,wet^0.5 = damp,physical
wet^0.6,60% wet,wet^0.6 = 60% effect,physical
wet^0.8,80% wet,wet^0.8 = 80% effect,physical
wet^0.9,completely soaked,wet^0.9 = saturated,physical
wet±dry,moisture symmetry,wet±dry = equilibrium humidity,physical
woo given col^0.8,wood with 80% col condition,woo given col^0.8 = modified wood,physical
woo given har^0.3,wood with 30% har condition,woo given har^0.3 = modified wood,physical
woo given har^0.7,wood with 70% har condition,woo given har^0.7 = modified wood,physical
woo given hot,charring wood,woo given hot = heat-darkened,physical
woo given hot^0.6,wood with 60% hot condition,woo given hot^0.6 = modified wood,physical
woo given ruf^0.4,wood with 40% ruf condition,woo given ruf^0.4 = modified wood,physical
woo given smo^0.7,wood with 70% smo condition,woo given smo^0.7 = modified wood,physical
woo given sof^0.5,wood with 50% sof condition,woo given sof^0.5 = modified wood,physical
woo without rot,sound wood,woo without rot = undecayed,physical
woo*coa,coarse wood,woo*coa = rough grain,physical
woo*dry,seasoned wood,woo*dry = kiln-dried,physical
woo*dry*shr*cra,wood shrinkage cracking,woo*dry*shr*cra = desiccation,physical
woo*wet,wet wood,woo*wet = green wood,physical
woo@col,col aspect of woo,woo@col = col in woo,physical
woo@dry,dry aspect of woo,woo@dry = dry in woo,physical
woo@dry^0.2,woo with 20% dry,woo@dry^0.2 = 20% affected woo,physical
woo@dry^0.4,woo with 40% dry,woo@dry^0.4 = 40% affected woo,physical
woo@dry^0.6,woo with 60% dry,woo@dry^0.6 = 60% affected woo,physical
woo@dry^0.8,woo with 80% dry,woo@dry^0.8 = 80% affected woo,physical
woo@har,har aspect of woo,woo@har = har in woo,physical
woo@hot,hot aspect of woo,woo@hot = hot in woo,physical
woo@ruf,ruf aspect of woo,woo@ruf = ruf in woo,physical
woo@smo,smo aspect of woo,woo@smo = smo in woo,physical
woo@sof,sof aspect of woo,woo@sof = sof in woo,physical
woo@sol,wood in solid,woo@sol = wooden structure,physical
woo@tex,textured wood,woo@tex = grain pattern,physical
woo@vis,vis aspect of woo,woo@vis = vis in woo,physical
woo@wet,wet aspect of woo,woo@wet = wet in woo,physical
work@bre,work in bre,work@bre = work for bre,physical
work@eva,work in eva,work@eva = work for eva,physical
work@mel,work in mel,work@mel = work for mel,physical
work@mix,work in mix,work@mix = work for mix,physical
work@mov,work in mov,work@mov = work for mov,physical
yie@har,yield point hardness,yie@har = elastic limit,physical
