expression,meaning,example,domain
ato*abl*agr,atom ∧ able ∧ agreeing,ato*abl*agr,ternary
ato*abl*ans,atom ∧ able ∧ answer,ato*abl*ans,ternary
ato*abl*arg,atom ∧ able ∧ arguing,ato*abl*arg,ternary
ato*abl*ask,atom ∧ able ∧ asking,ato*abl*ask,ternary
ato*abo,atom ∧ above,ato*abo,physical-spatial
ato*abo*acc,atom ∧ above ∧ accelerate,ato*abo*acc,ternary
ato*abo*aft,atom ∧ above ∧ after,ato*abo*aft,ternary
ato*abo*alw,atom ∧ above ∧ always,ato*abo*alw,ternary
ato*abo*bef,atom ∧ above ∧ before,ato*abo*bef,ternary
ato*abs,atom ∧ abstract,ato*abs,physical-cognitive
ato*abs*agr,atom ∧ abstract ∧ agreeing,ato*abs*agr,ternary
ato*abs*ans,atom ∧ abstract ∧ answer,ato*abs*ans,ternary
ato*abs*arg,atom ∧ abstract ∧ arguing,ato*abs*arg,ternary
ato*abs*ask,atom ∧ abstract ∧ asking,ato*abs*ask,ternary
ato*acc,atom ∧ accelerate,ato*acc,physical-temporal
ato*ack,atom ∧ acknowledge,ato*ack,physical-agent
ato*acr,atom ∧ across,ato*acr,physical-spatial
ato*acr*acc,atom ∧ across ∧ accelerate,ato*acr*acc,ternary
ato*acr*aft,atom ∧ across ∧ after,ato*acr*aft,ternary
ato*acr*alw,atom ∧ across ∧ always,ato*acr*alw,ternary
ato*acr*bef,atom ∧ across ∧ before,ato*acr*bef,ternary
ato*act,atom ∧ action,ato*act,physical-agent
ato*ada,atom ∧ adapt,ato*ada,physical-agent
ato*aft,atom ∧ after,ato*aft,physical-temporal
ato*aga,atom ∧ against,ato*aga,physical-spatial
ato*aga*acc,atom ∧ against ∧ accelerate,ato*aga*acc,ternary
ato*aga*aft,atom ∧ against ∧ after,ato*aga*aft,ternary
ato*aga*alw,atom ∧ against ∧ always,ato*aga*alw,ternary
ato*aga*bef,atom ∧ against ∧ before,ato*aga*bef,ternary
ato*age,atom ∧ agent,ato*age,physical-abstract
ato*agg,atom ∧ aggregate,ato*agg,physical-agent
ato*agr,atom ∧ agreeing,ato*agr,physical-communication
ato*agt,atom ∧ agent,ato*agt,physical-agent
ato*ahi,atom ∧ ahimsa,ato*ahi,physical-ethics
ato*aim,atom ∧ aim,ato*aim,physical-cognitive
ato*aim*agr,atom ∧ aim ∧ agreeing,ato*aim*agr,ternary
ato*aim*ans,atom ∧ aim ∧ answer,ato*aim*ans,ternary
ato*aim*arg,atom ∧ aim ∧ arguing,ato*aim*arg,ternary
ato*aim*ask,atom ∧ aim ∧ asking,ato*aim*ask,ternary
ato*ale,atom ∧ aleatoric uncertainty (inherently random),ato*ale,physical-agent
ato*all,atom ∧ all,ato*all,physical-abstract
ato*alo,atom ∧ along,ato*alo,physical-spatial
ato*alo*acc,atom ∧ along ∧ accelerate,ato*alo*acc,ternary
ato*alo*aft,atom ∧ along ∧ after,ato*alo*aft,ternary
ato*alo*alw,atom ∧ along ∧ always,ato*alo*alw,ternary
ato*alo*bef,atom ∧ along ∧ before,ato*alo*bef,ternary
ato*alp,atom ∧ alpha,ato*alp,physical-abstract
ato*alt,atom ∧ alternatively,ato*alt,physical-abstract
ato*alw,atom ∧ always,ato*alw,physical-temporal
ato*amb,atom ∧ many meanings,ato*amb,physical-abstract
ato*amo,atom ∧ among,ato*amo,physical-spatial
ato*anc,atom ∧ ancient,ato*anc,physical-abstract
ato*ang,atom ∧ anger,ato*ang,physical-cognitive
ato*ani,atom ∧ animal,ato*ani,physical-living
ato*ani*cer,atom ∧ animal ∧ ceremony,ato*ani*cer,ternary
ato*ani*chi,atom ∧ animal ∧ child,ato*ani*chi,ternary
ato*ani*cru,atom ∧ animal ∧ cruel,ato*ani*cru,ternary
ato*ani*cul,atom ∧ animal ∧ culture,ato*ani*cul,ternary
ato*ans,atom ∧ answer,ato*ans,physical-communication
ato*ant,atom ∧ ant,ato*ant,physical-living
ato*ant*cer,atom ∧ ant ∧ ceremony,ato*ant*cer,ternary
ato*ant*chi,atom ∧ ant ∧ child,ato*ant*chi,ternary
ato*ant*cru,atom ∧ ant ∧ cruel,ato*ant*cru,ternary
ato*ant*cul,atom ∧ ant ∧ culture,ato*ant*cul,ternary
ato*anx,atom ∧ anxious,ato*anx,physical-cognitive
ato*api,atom ∧ interface,ato*api,physical-technical
ato*apl,atom ∧ apple,ato*apl,physical-concrete
ato*app,atom ∧ application,ato*app,physical-technical
ato*apt,atom ∧ apartment,ato*apt,physical-sensory
ato*arc,atom ∧ arc,ato*arc,physical-spatial
ato*aret,atom ∧ arete,ato*aret,physical-ethics
ato*arg,atom ∧ arguing,ato*arg,physical-communication
ato*ask,atom ∧ asking,ato*ask,physical-communication
ato*async,atom ∧ not synchronized concurrent,ato*async,physical-technical
ato*avi,atom ∧ bird,ato*avi,physical-living
ato*avi*cer,atom ∧ bird ∧ ceremony,ato*avi*cer,ternary
ato*avi*chi,atom ∧ bird ∧ child,ato*avi*chi,ternary
ato*avi*cru,atom ∧ bird ∧ cruel,ato*avi*cru,ternary
ato*avi*cul,atom ∧ bird ∧ culture,ato*avi*cul,ternary
ato*avo,atom ∧ avoid,ato*avo,physical-process
ato*await,atom ∧ wait for completion,ato*await,physical-technical
ato*bag,atom ∧ bag,ato*bag,physical-motion
ato*bak,atom ∧ backup,ato*bak,physical-technical
ato*ban,atom ∧ banana,ato*ban,physical-concrete
ato*bar,atom ∧ baraka,ato*bar,physical-ethics
ato*bat,atom ∧ bathroom,ato*bat,physical-sensory
ato*bed,atom ∧ bedroom,ato*bed,physical-sensory
ato*bee,atom ∧ beer,ato*bee,physical-concrete
ato*bef,atom ∧ before,ato*bef,physical-temporal
ato*beff,atom ∧ beef,ato*beff,physical-concrete
ato*beg,atom ∧ beginning,ato*beg,physical-temporal
ato*ben,atom ∧ bend,ato*ben,physical-process
ato*ber,atom ∧ berry,ato*ber,physical-living
ato*ber*cer,atom ∧ berry ∧ ceremony,ato*ber*cer,ternary
ato*ber*chi,atom ∧ berry ∧ child,ato*ber*chi,ternary
ato*ber*cru,atom ∧ berry ∧ cruel,ato*ber*cru,ternary
ato*ber*cul,atom ∧ berry ∧ culture,ato*ber*cul,ternary
ato*bir,atom ∧ birth,ato*bir,physical-temporal
ato*bit,atom ∧ bitter,ato*bit,physical-concrete
ato*bld,atom ∧ build,ato*bld,physical-process
ato*ble,atom ∧ blessing,ato*ble,physical-ethics
ato*blo,atom ∧ blood,ato*blo,physical-living
ato*bng,atom ∧ bring,ato*bng,physical-process
ato*bnk,atom ∧ bank,ato*bnk,physical-sensory
ato*bod,atom ∧ awakening,ato*bod,physical-ethics
ato*boi,atom ∧ boil,ato*boi,physical-concrete
ato*bon,atom ∧ bone,ato*bon,physical-living
ato*boo,atom ∧ book,ato*boo,physical-motion
ato*bot,atom ∧ automated agent,ato*bot,physical-technical
ato*bow,atom ∧ bowl,ato*bow,physical-motion
ato*box,atom ∧ box,ato*box,physical-motion
ato*brk,atom ∧ break,ato*brk,physical-process
ato*cas,atom ∧ castle,ato*cas,physical-sensory
ato*cei,atom ∧ ceiling,ato*cei,physical-sensory
ato*cer,atom ∧ ceremony,ato*cer,physical-social
ato*chi,atom ∧ child,ato*chi,physical-social
ato*cle,atom ∧ clear,ato*cle,physical-communication
ato*clm,atom ∧ climb,ato*clm,physical-process
ato*cri,atom ∧ criticize,ato*cri,physical-communication
ato*cru,atom ∧ cruel,ato*cru,physical-social
ato*cul,atom ∧ culture,ato*cul,physical-social
ato*cup,atom ∧ cup,ato*cup,physical-motion
ato*cus,atom ∧ custom,ato*cus,physical-social
ato*der,atom ∧ virtue,ato*der,physical-ethics
ato*dut,atom ∧ duty,ato*dut,physical-social
ato*ham,atom ∧ hammer,ato*ham,physical-motion
att*dre,cognition blend: attention + dreaming,att*dre,cognition_internal
att*foc,cognition blend: attention + focus,att*foc,cognition_internal
att*ima,cognition blend: attention + imagining,att*ima,cognition_internal
aud*if,process-state: hearing creating condition,aud*if,process_state
aud*iff,process-state: hearing creating if-then,aud*iff,process_state
aud*ity,process-state: hearing creating quality,aud*ity,process_state
aud*not,perception blend: hearing + negation,aud*not,perception_internal
aud*obs,perception blend: hearing + observe,aud*obs,perception_internal
aud*opn,process-state: hearing creating open,aud*opn,process_state
aud*pal,perception blend: hearing + palace,aud*pal,perception_internal
aud*pha,process-state: hearing creating phase,aud*pha,process_state
aud*phs,process-state: hearing creating phase,aud*phs,process_state
aud*pok,process-state: hearing creating poke,aud*pok,process_state
aud*whn,process-state: hearing creating when,aud*whn,process_state
aud*wou,process-state: hearing creating would,aud*wou,process_state
aur*abd,aurora meets abduct,aur*abd,rare_domain
aur*abl,aurora meets able,aur*abl,rare_domain
aur*abs,aurora meets abstract,aur*abs,rare_domain
aur*ack,aurora meets acknowledge,aur*ack,rare_domain
aur*act,aurora meets action,aur*act,rare_domain
aur*ada,aurora meets adapt,aur*ada,rare_domain
aur*aer,aurora meets air-related,aur*aer,rare_domain
aur*age,aurora meets agent,aur*age,rare_domain
aur*agg,aurora meets aggregate,aur*agg,rare_domain
aur*agt,aurora meets agent,aur*agt,rare_domain
aur*aim,aurora meets aim,aur*aim,rare_domain
aur*all,aurora meets all,aur*all,rare_domain
aur*alp,aurora meets alpha,aur*alp,rare_domain
aur*alt,aurora meets alternatively,aur*alt,rare_domain
aur*amb,aurora meets many meanings,aur*amb,rare_domain
aur*ang,aurora meets anger,aur*ang,rare_domain
aur*aqu,aurora meets water-related,aur*aqu,rare_domain
aur*ash,aurora meets ash,aur*ash,rare_domain
aur*ato,aurora meets atom,aur*ato,rare_domain
aur*big,aurora meets large,aur*big,rare_domain
aut*abd,autumn meets abduct,aut*abd,rare_domain
aut*abl,autumn meets able,aut*abl,rare_domain
aut*abs,autumn meets abstract,aut*abs,rare_domain
aut*ack,autumn meets acknowledge,aut*ack,rare_domain
aut*act,autumn meets action,aut*act,rare_domain
aut*ada,autumn meets adapt,aut*ada,rare_domain
aut*aer,autumn meets air-related,aut*aer,rare_domain
aut*age,autumn meets agent,aut*age,rare_domain
aut*agg,autumn meets aggregate,aut*agg,rare_domain
aut*agt,autumn meets agent,aut*agt,rare_domain
aut*aim,autumn meets aim,aut*aim,rare_domain
aut*all,autumn meets all,aut*all,rare_domain
aut*alp,autumn meets alpha,aut*alp,rare_domain
aut*alt,autumn meets alternatively,aut*alt,rare_domain
aut*amb,autumn meets many meanings,aut*amb,rare_domain
aut*ang,autumn meets anger,aut*ang,rare_domain
aut*aqu,autumn meets water-related,aut*aqu,rare_domain
aut*ash,autumn meets ash,aut*ash,rare_domain
aut*ato,autumn meets atom,aut*ato,rare_domain
aut*big,autumn meets large,aut*big,rare_domain
avi*abd,bird ∧ abduct,avi*abd,living-cognitive
avi*abl,bird ∧ able,avi*abl,living-cognitive
avi*abs,bird ∧ abstract,avi*abs,living-cognitive
avi*ack,bird ∧ acknowledge,avi*ack,living-agent
avi*act,bird ∧ action,avi*act,living-agent
avi*ada,bird ∧ adapt,avi*ada,living-agent
avi*age,bird ∧ agent,avi*age,living-abstract
avi*age*ack,bird ∧ agent ∧ acknowledge,avi*age*ack,ternary
avi*age*act,bird ∧ agent ∧ action,avi*age*act,ternary
avi*age*ada,bird ∧ agent ∧ adapt,avi*age*ada,ternary
avi*age*agg,bird ∧ agent ∧ aggregate,avi*age*agg,ternary
avi*agg,bird ∧ aggregate,avi*agg,living-agent
avi*agr,bird ∧ agreeing,avi*agr,living-communication
avi*agt,bird ∧ agent,avi*agt,living-agent
avi*ahi,bird ∧ ahimsa,avi*ahi,living-ethics
avi*aim,bird ∧ aim,avi*aim,living-cognitive
avi*ale,bird ∧ aleatoric uncertainty (inherently random),avi*ale,living-agent
avi*all,bird ∧ all,avi*all,living-abstract
avi*all*ack,bird ∧ all ∧ acknowledge,avi*all*ack,ternary
avi*all*act,bird ∧ all ∧ action,avi*all*act,ternary
avi*all*ada,bird ∧ all ∧ adapt,avi*all*ada,ternary
avi*all*agg,bird ∧ all ∧ aggregate,avi*all*agg,ternary
avi*alp,bird ∧ alpha,avi*alp,living-abstract
avi*alp*ack,bird ∧ alpha ∧ acknowledge,avi*alp*ack,ternary
avi*alp*act,bird ∧ alpha ∧ action,avi*alp*act,ternary
avi*alp*ada,bird ∧ alpha ∧ adapt,avi*alp*ada,ternary
avi*alp*agg,bird ∧ alpha ∧ aggregate,avi*alp*agg,ternary
avi*alt,bird ∧ alternatively,avi*alt,living-abstract
avi*alt*ack,bird ∧ alternatively ∧ acknowledge,avi*alt*ack,ternary
avi*alt*act,bird ∧ alternatively ∧ action,avi*alt*act,ternary
avi*alt*ada,bird ∧ alternatively ∧ adapt,avi*alt*ada,ternary
avi*alt*agg,bird ∧ alternatively ∧ aggregate,avi*alt*agg,ternary
avi*amb,bird ∧ many meanings,avi*amb,living-abstract
avi*anc,bird ∧ ancient,avi*anc,living-abstract
avi*ang,bird ∧ anger,avi*ang,living-cognitive
avi*ans,bird ∧ answer,avi*ans,living-communication
avi*anx,bird ∧ anxious,avi*anx,living-cognitive
avi*api,bird ∧ interface,avi*api,living-technical
avi*apl,bird ∧ apple,avi*apl,living-concrete
avi*app,bird ∧ application,avi*app,living-technical
avi*apt,bird ∧ apartment,avi*apt,living-sensory
avi*aret,bird ∧ arete,avi*aret,living-ethics
avi*arg,bird ∧ arguing,avi*arg,living-communication
avi*ask,bird ∧ asking,avi*ask,living-communication
avi*async,bird ∧ not synchronized concurrent,avi*async,living-technical
avi*avo,bird ∧ avoid,avi*avo,living-process
avi*await,bird ∧ wait for completion,avi*await,living-technical
avi*bag,bird ∧ bag,avi*bag,living-motion
avi*bak,bird ∧ backup,avi*bak,living-technical
avi*ban,bird ∧ banana,avi*ban,living-concrete
avi*bar,bird ∧ baraka,avi*bar,living-ethics
avi*bat,bird ∧ bathroom,avi*bat,living-sensory
avi*bed,bird ∧ bedroom,avi*bed,living-sensory
avi*bee,bird ∧ beer,avi*bee,living-concrete
avi*beff,bird ∧ beef,avi*beff,living-concrete
avi*ben,bird ∧ bend,avi*ben,living-process
avi*bit,bird ∧ bitter,avi*bit,living-concrete
avi*bld,bird ∧ build,avi*bld,living-process
avi*ble,bird ∧ blessing,avi*ble,living-ethics
avi*bng,bird ∧ bring,avi*bng,living-process
avi*bnk,bird ∧ bank,avi*bnk,living-sensory
avi*bod,bird ∧ awakening,avi*bod,living-ethics
avi*boi,bird ∧ boil,avi*boi,living-concrete
avi*boo,bird ∧ book,avi*boo,living-motion
avi*bot,bird ∧ automated agent,avi*bot,living-technical
avi*bow,bird ∧ bowl,avi*bow,living-motion
avi*box,bird ∧ box,avi*box,living-motion
avi*brk,bird ∧ break,avi*brk,living-process
avi*cas,bird ∧ castle,avi*cas,living-sensory
avi*cei,bird ∧ ceiling,avi*cei,living-sensory
avi*cer,bird ∧ ceremony,avi*cer,living-social
avi*chi,bird ∧ child,avi*chi,living-social
avi*cle,bird ∧ clear,avi*cle,living-communication
avi*clm,bird ∧ climb,avi*clm,living-process
avi*cri,bird ∧ criticize,avi*cri,living-communication
avi*cru,bird ∧ cruel,avi*cru,living-social
avi*cul,bird ∧ culture,avi*cul,living-social
avi*cup,bird ∧ cup,avi*cup,living-motion
avi*cus,bird ∧ custom,avi*cus,living-social
avi*der,bird ∧ virtue,avi*der,living-ethics
avi*dut,bird ∧ duty,avi*dut,living-social
avi*ham,bird ∧ hammer,avi*ham,living-motion
avo*ahi,avoid ∧ ahimsa,avo*ahi,process-ethics
avo*aret,avoid ∧ arete,avo*aret,process-ethics
avo*bar,avoid ∧ baraka,avo*bar,process-ethics
avo*ble,avoid ∧ blessing,avo*ble,process-ethics
avo*bod,avoid ∧ awakening,avo*bod,process-ethics
avo*der,avoid ∧ virtue,avo*der,process-ethics
awa*if,process-state: away creating condition,awa*if,process_state
awa*iff,process-state: away creating if-then,awa*iff,process_state
awa*ity,process-state: away creating quality,awa*ity,process_state
awa*opn,process-state: away creating open,awa*opn,process_state
awa*pha,process-state: away creating phase,awa*pha,process_state
awa*phs,process-state: away creating phase,awa*phs,process_state
awa*pok,process-state: away creating poke,awa*pok,process_state
awa*whn,process-state: away creating when,awa*whn,process_state
awa*wou,process-state: away creating would,awa*wou,process_state
await*ahi,wait for completion ∧ ahimsa,await*ahi,technical-ethics
await*apl,wait for completion ∧ apple,await*apl,technical-concrete
await*apt,wait for completion ∧ apartment,await*apt,technical-sensory
await*aret,wait for completion ∧ arete,await*aret,technical-ethics
await*avo,wait for completion ∧ avoid,await*avo,technical-process
await*bag,wait for completion ∧ bag,await*bag,technical-motion
await*ban,wait for completion ∧ banana,await*ban,technical-concrete
await*bar,wait for completion ∧ baraka,await*bar,technical-ethics
await*bat,wait for completion ∧ bathroom,await*bat,technical-sensory
await*bed,wait for completion ∧ bedroom,await*bed,technical-sensory
await*bee,wait for completion ∧ beer,await*bee,technical-concrete
await*beff,wait for completion ∧ beef,await*beff,technical-concrete
await*ben,wait for completion ∧ bend,await*ben,technical-process
await*bit,wait for completion ∧ bitter,await*bit,technical-concrete
await*bld,wait for completion ∧ build,await*bld,technical-process
await*ble,wait for completion ∧ blessing,await*ble,technical-ethics
await*bng,wait for completion ∧ bring,await*bng,technical-process
await*bnk,wait for completion ∧ bank,await*bnk,technical-sensory
await*bod,wait for completion ∧ awakening,await*bod,technical-ethics
await*boi,wait for completion ∧ boil,await*boi,technical-concrete
await*boo,wait for completion ∧ book,await*boo,technical-motion
await*bow,wait for completion ∧ bowl,await*bow,technical-motion
await*box,wait for completion ∧ box,await*box,technical-motion
await*brk,wait for completion ∧ break,await*brk,technical-process
await*cas,wait for completion ∧ castle,await*cas,technical-sensory
await*cei,wait for completion ∧ ceiling,await*cei,technical-sensory
await*clm,wait for completion ∧ climb,await*clm,technical-process
await*cup,wait for completion ∧ cup,await*cup,technical-motion
await*der,wait for completion ∧ virtue,await*der,technical-ethics
await*ham,wait for completion ∧ hammer,await*ham,technical-motion
awt*if,process-state: await creating condition,awt*if,process_state
awt*iff,process-state: await creating if-then,awt*iff,process_state
awt*ity,process-state: await creating quality,awt*ity,process_state
awt*opn,process-state: await creating open,awt*opn,process_state
awt*pha,process-state: await creating phase,awt*pha,process_state
awt*phs,process-state: await creating phase,awt*phs,process_state
awt*pok,process-state: await creating poke,awt*pok,process_state
awt*whn,process-state: await creating when,awt*whn,process_state
awt*wou,process-state: await creating would,awt*wou,process_state
bac*bot,space blend: backward + automated agent,bac*bot,space_internal
bac*cen,space blend: backward + center,bac*cen,space_internal
bac*edg,space blend: backward + edge,bac*edg,space_internal
bac*top,space blend: backward + top,bac*top,space_internal
bag*ahi,bag ∧ ahimsa,bag*ahi,motion-ethics
bag*aret,bag ∧ arete,bag*aret,motion-ethics
bag*avo,bag ∧ avoid,bag*avo,motion-process
bag*bar,bag ∧ baraka,bag*bar,motion-ethics
bag*ben,bag ∧ bend,bag*ben,motion-process
bag*bld,bag ∧ build,bag*bld,motion-process
bag*ble,bag ∧ blessing,bag*ble,motion-ethics
bag*bng,bag ∧ bring,bag*bng,motion-process
bag*bod,bag ∧ awakening,bag*bod,motion-ethics
bag*brk,bag ∧ break,bag*brk,motion-process
bag*clm,bag ∧ climb,bag*clm,motion-process
bag*der,bag ∧ virtue,bag*der,motion-ethics
bak*ahi,backup ∧ ahimsa,bak*ahi,technical-ethics
bak*apl,backup ∧ apple,bak*apl,technical-concrete
bak*apt,backup ∧ apartment,bak*apt,technical-sensory
bak*aret,backup ∧ arete,bak*aret,technical-ethics
bak*avo,backup ∧ avoid,bak*avo,technical-process
bak*bag,backup ∧ bag,bak*bag,technical-motion
bak*ban,backup ∧ banana,bak*ban,technical-concrete
bak*bar,backup ∧ baraka,bak*bar,technical-ethics
bak*bat,backup ∧ bathroom,bak*bat,technical-sensory
bak*bed,backup ∧ bedroom,bak*bed,technical-sensory
bak*bee,backup ∧ beer,bak*bee,technical-concrete
bak*beff,backup ∧ beef,bak*beff,technical-concrete
bak*ben,backup ∧ bend,bak*ben,technical-process
bak*bit,backup ∧ bitter,bak*bit,technical-concrete
bak*bld,backup ∧ build,bak*bld,technical-process
bak*ble,backup ∧ blessing,bak*ble,technical-ethics
bak*bng,backup ∧ bring,bak*bng,technical-process
bak*bnk,backup ∧ bank,bak*bnk,technical-sensory
bak*bod,backup ∧ awakening,bak*bod,technical-ethics
bak*boi,backup ∧ boil,bak*boi,technical-concrete
bak*boo,backup ∧ book,bak*boo,technical-motion
bak*bow,backup ∧ bowl,bak*bow,technical-motion
bak*box,backup ∧ box,bak*box,technical-motion
bak*brk,backup ∧ break,bak*brk,technical-process
bak*cas,backup ∧ castle,bak*cas,technical-sensory
bak*cei,backup ∧ ceiling,bak*cei,technical-sensory
bak*clm,backup ∧ climb,bak*clm,technical-process
bak*cup,backup ∧ cup,bak*cup,technical-motion
bak*der,backup ∧ virtue,bak*der,technical-ethics
bak*ham,backup ∧ hammer,bak*ham,technical-motion
bal*abd,balloon meets abduct,bal*abd,rare_domain
bal*abl,balloon meets able,bal*abl,rare_domain
bal*abs,balloon meets abstract,bal*abs,rare_domain
bal*ack,balloon meets acknowledge,bal*ack,rare_domain
bal*act,balloon meets action,bal*act,rare_domain
bal*ada,balloon meets adapt,bal*ada,rare_domain
bal*aer,balloon meets air-related,bal*aer,rare_domain
bal*age,balloon meets agent,bal*age,rare_domain
bal*agg,balloon meets aggregate,bal*agg,rare_domain
bal*agt,balloon meets agent,bal*agt,rare_domain
bal*aim,balloon meets aim,bal*aim,rare_domain
bal*all,balloon meets all,bal*all,rare_domain
bal*alp,balloon meets alpha,bal*alp,rare_domain
bal*alt,balloon meets alternatively,bal*alt,rare_domain
bal*amb,balloon meets many meanings,bal*amb,rare_domain
bal*ang,balloon meets anger,bal*ang,rare_domain
bal*aqu,balloon meets water-related,bal*aqu,rare_domain
bal*ash,balloon meets ash,bal*ash,rare_domain
bal*ato,balloon meets atom,bal*ato,rare_domain
bal*big,balloon meets large,bal*big,rare_domain
ban*ahi,banana ∧ ahimsa,ban*ahi,concrete-ethics
ban*apt,banana ∧ apartment,ban*apt,concrete-sensory
ban*apt*bag,banana ∧ apartment ∧ bag,ban*apt*bag,ternary
ban*apt*boo,banana ∧ apartment ∧ book,ban*apt*boo,ternary
ban*apt*bow,banana ∧ apartment ∧ bowl,ban*apt*bow,ternary
ban*apt*box,banana ∧ apartment ∧ box,ban*apt*box,ternary
ban*aret,banana ∧ arete,ban*aret,concrete-ethics
ban*avo,banana ∧ avoid,ban*avo,concrete-process
ban*bag,banana ∧ bag,ban*bag,concrete-motion
ban*bar,banana ∧ baraka,ban*bar,concrete-ethics
ban*bat,banana ∧ bathroom,ban*bat,concrete-sensory
ban*bat*bag,banana ∧ bathroom ∧ bag,ban*bat*bag,ternary
ban*bat*boo,banana ∧ bathroom ∧ book,ban*bat*boo,ternary
ban*bat*bow,banana ∧ bathroom ∧ bowl,ban*bat*bow,ternary
ban*bat*box,banana ∧ bathroom ∧ box,ban*bat*box,ternary
ban*bed,banana ∧ bedroom,ban*bed,concrete-sensory
ban*bed*bag,banana ∧ bedroom ∧ bag,ban*bed*bag,ternary
ban*bed*boo,banana ∧ bedroom ∧ book,ban*bed*boo,ternary
ban*bed*bow,banana ∧ bedroom ∧ bowl,ban*bed*bow,ternary
ban*bed*box,banana ∧ bedroom ∧ box,ban*bed*box,ternary
ban*ben,banana ∧ bend,ban*ben,concrete-process
ban*bld,banana ∧ build,ban*bld,concrete-process
ban*ble,banana ∧ blessing,ban*ble,concrete-ethics
ban*bng,banana ∧ bring,ban*bng,concrete-process
ban*bnk,banana ∧ bank,ban*bnk,concrete-sensory
ban*bnk*bag,banana ∧ bank ∧ bag,ban*bnk*bag,ternary
ban*bnk*boo,banana ∧ bank ∧ book,ban*bnk*boo,ternary
ban*bnk*bow,banana ∧ bank ∧ bowl,ban*bnk*bow,ternary
ban*bnk*box,banana ∧ bank ∧ box,ban*bnk*box,ternary
ban*bod,banana ∧ awakening,ban*bod,concrete-ethics
ban*boo,banana ∧ book,ban*boo,concrete-motion
ban*bow,banana ∧ bowl,ban*bow,concrete-motion
ban*box,banana ∧ box,ban*box,concrete-motion
ban*brk,banana ∧ break,ban*brk,concrete-process
ban*cas,banana ∧ castle,ban*cas,concrete-sensory
ban*cei,banana ∧ ceiling,ban*cei,concrete-sensory
ban*clm,banana ∧ climb,ban*clm,concrete-process
ban*cup,banana ∧ cup,ban*cup,concrete-motion
ban*der,banana ∧ virtue,ban*der,concrete-ethics
ban*ham,banana ∧ hammer,ban*ham,concrete-motion
bas*col,material blend: base + distant,bas*col,material_internal
bas*den,material blend: base + dense,bas*den,material_internal
bas*dry,material blend: base + dry,bas*dry,material_internal
bas*hot,material blend: base + passion,bas*hot,material_internal
bas*sof,material blend: base + soft,bas*sof,material_internal
bas*wet,material blend: base + wet,bas*wet,material_internal
bat*ahi,bathroom ∧ ahimsa,bat*ahi,sensory-ethics
bat*aret,bathroom ∧ arete,bat*aret,sensory-ethics
bat*avo,bathroom ∧ avoid,bat*avo,sensory-process
bat*bag,bathroom ∧ bag,bat*bag,sensory-motion
bat*bar,bathroom ∧ baraka,bat*bar,sensory-ethics
bat*ben,bathroom ∧ bend,bat*ben,sensory-process
bat*bld,bathroom ∧ build,bat*bld,sensory-process
bat*ble,bathroom ∧ blessing,bat*ble,sensory-ethics
bat*bng,bathroom ∧ bring,bat*bng,sensory-process
bat*bod,bathroom ∧ awakening,bat*bod,sensory-ethics
bat*boo,bathroom ∧ book,bat*boo,sensory-motion
bat*bow,bathroom ∧ bowl,bat*bow,sensory-motion
bat*box,bathroom ∧ box,bat*box,sensory-motion
bat*brk,bathroom ∧ break,bat*brk,sensory-process
bat*clm,bathroom ∧ climb,bat*clm,sensory-process
bat*cup,bathroom ∧ cup,bat*cup,sensory-motion
bat*der,bathroom ∧ virtue,bat*der,sensory-ethics
bat*ham,bathroom ∧ hammer,bat*ham,sensory-motion
bed*ahi,bedroom ∧ ahimsa,bed*ahi,sensory-ethics
bed*aret,bedroom ∧ arete,bed*aret,sensory-ethics
bed*avo,bedroom ∧ avoid,bed*avo,sensory-process
bed*bag,bedroom ∧ bag,bed*bag,sensory-motion
bed*bar,bedroom ∧ baraka,bed*bar,sensory-ethics
bed*ben,bedroom ∧ bend,bed*ben,sensory-process
bed*bld,bedroom ∧ build,bed*bld,sensory-process
bed*ble,bedroom ∧ blessing,bed*ble,sensory-ethics
bed*bng,bedroom ∧ bring,bed*bng,sensory-process
bed*bod,bedroom ∧ awakening,bed*bod,sensory-ethics
bed*boo,bedroom ∧ book,bed*boo,sensory-motion
bed*bow,bedroom ∧ bowl,bed*bow,sensory-motion
bed*box,bedroom ∧ box,bed*box,sensory-motion
bed*brk,bedroom ∧ break,bed*brk,sensory-process
bed*clm,bedroom ∧ climb,bed*clm,sensory-process
bed*cup,bedroom ∧ cup,bed*cup,sensory-motion
bed*der,bedroom ∧ virtue,bed*der,sensory-ethics
bed*ham,bedroom ∧ hammer,bed*ham,sensory-motion
bee*ahi,beer ∧ ahimsa,bee*ahi,concrete-ethics
bee*apt,beer ∧ apartment,bee*apt,concrete-sensory
bee*apt*bag,beer ∧ apartment ∧ bag,bee*apt*bag,ternary
bee*apt*boo,beer ∧ apartment ∧ book,bee*apt*boo,ternary
bee*apt*bow,beer ∧ apartment ∧ bowl,bee*apt*bow,ternary
bee*apt*box,beer ∧ apartment ∧ box,bee*apt*box,ternary
bee*aret,beer ∧ arete,bee*aret,concrete-ethics
bee*avo,beer ∧ avoid,bee*avo,concrete-process
bee*bag,beer ∧ bag,bee*bag,concrete-motion
bee*bar,beer ∧ baraka,bee*bar,concrete-ethics
bee*bat,beer ∧ bathroom,bee*bat,concrete-sensory
